capture_id,product,viewport,page_area,state,source_url,final_url,page_title,filename,absolute_path,captured_at_local,width_px,height_px,file_size_bytes,document_scroll_width,document_scroll_height,auto_scroll_iterations,reached_bottom,popup_action,authentication_state,status,attempt_count,failure_reason,related_pa1_figure,related_pa1_use_case,notes_factual_only
"fifa-25-buy-now-state","fifa","desktop","ticket CTA","Buy now","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-25-buy-now-state.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-25-buy-now-state.png","2026-07-30 14:57:49 +07:00","1440","5729","1970535","1440","5729","12","true","Reject All","PUBLIC","SUCCESS","1","","","","Popup action: Reject All."
"fifa-26-buy-packages-now-state","fifa","desktop","hospitality CTA","Buy Packages Now","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-26-buy-packages-now-state.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-26-buy-packages-now-state.png","2026-07-30 14:58:28 +07:00","1440","5729","1970535","1440","5729","12","true","Reject All","PUBLIC","MISSING_CURRENT_STATE","1","waitForText unavailable: locator.waitFor: Timeout 10000ms exceeded.","","","Popup action: Reject All."
"fifa-27-register-interest-state","fifa","desktop","ticket CTA","Register your interest","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-27-register-interest-state.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-27-register-interest-state.png","2026-07-30 14:58:58 +07:00","1440","5729","1970535","1440","5729","15","true","Reject All","PUBLIC","SUCCESS","1","","","","Popup action: Reject All."
"fifa-28-coming-soon-state","fifa","desktop","ticket availability","Coming soon","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-28-coming-soon-state.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-28-coming-soon-state.png","2026-07-30 14:59:38 +07:00","1440","5729","1970535","1440","5729","12","true","Reject All","PUBLIC","MISSING_CURRENT_STATE","1","waitForText unavailable: locator.waitFor: Timeout 10000ms exceeded.","","","Popup action: Reject All."
"fifa-29-sold-out-state","fifa","desktop","ticket availability","Sold out","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-29-sold-out-state.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-29-sold-out-state.png","2026-07-30 15:00:17 +07:00","1440","5729","1970535","1440","5729","13","true","Reject All","PUBLIC","MISSING_CURRENT_STATE","1","waitForText unavailable: locator.waitFor: Timeout 10000ms exceeded.","","","Popup action: Reject All."
"fifa-30-waiting-room-state","fifa","desktop","ticket availability","Waiting room","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-30-waiting-room-state.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-30-waiting-room-state.png","2026-07-30 15:00:57 +07:00","1440","5729","1970535","1440","5729","14","true","Reject All","PUBLIC","MISSING_CURRENT_STATE","1","waitForText unavailable: locator.waitFor: Timeout 10000ms exceeded.","","","Popup action: Reject All."
"fifa-31-resale-state","fifa","desktop","ticket availability","Resale","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-31-resale-state.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-31-resale-state.png","2026-07-30 15:01:37 +07:00","1440","5729","1970535","1440","5729","14","true","Reject All","PUBLIC","MISSING_CURRENT_STATE","1","waitForText unavailable: locator.waitFor: Timeout 10000ms exceeded.","","","Popup action: Reject All."
"fifa-32-before-partner-handoff","fifa","desktop","ticket handoff","before partner handoff","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-32-before-partner-handoff.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-32-before-partner-handoff.png","2026-07-30 15:02:07 +07:00","1440","5729","1970535","1440","5729","14","true","Reject All","PUBLIC","SUCCESS","1","","","","Popup action: Reject All."
"fifa-33-partner-after-public-redirect","fifa","desktop","ticket partner","after redirect","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-33-partner-after-public-redirect.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-33-partner-after-public-redirect.png","2026-07-30 15:02:41 +07:00","1440","5729","1974126","1440","5729","13","true","Reject All","PUBLIC","SUCCESS","1","","","","Popup action: Reject All."
"fifa-34-fifa-plus-entry","fifa","desktop","FIFA+ entry","FIFA.com entry","https://www.fifa.com/en/fifa-plus","https://www.fifa.com/en/fifa-plus","","fifa-34-fifa-plus-entry.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-34-fifa-plus-entry.png","2026-07-30 15:03:06 +07:00","1440","1000","993316","1440","1000","4","true","Reject All","PUBLIC","SUCCESS","1","","F-10B","","Popup action: Reject All."
"fifa-35-fifa-plus-dazn-landing","fifa","desktop","FIFA+","landing","https://www.plus.fifa.com/","https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj","DAZN | FIFA+","fifa-35-fifa-plus-dazn-landing.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-35-fifa-plus-dazn-landing.png","2026-07-30 15:03:26 +07:00","1440","5252","6196802","1440","5252","5","true","Accept","PUBLIC","SUCCESS","1","","F-10B","","Popup action: Accept. Page final URL: https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj."
"fifa-36-fifa-plus-cookie-before-dismiss","fifa","desktop","FIFA+ cookie banner","before dismiss","https://www.plus.fifa.com/","https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj","DAZN | FIFA+","fifa-36-fifa-plus-cookie-before-dismiss.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-36-fifa-plus-cookie-before-dismiss.png","2026-07-30 15:03:41 +07:00","1440","6405","7553005","1440","6405","5","true","Retained before screenshot: ^accept$","PUBLIC","SUCCESS","1","","F-10B","","Popup action: Retained before screenshot: ^accept$. Page final URL: https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj."
"fifa-37-fifa-plus-after-cookie-dismiss","fifa","desktop","FIFA+","after cookie dismiss","https://www.plus.fifa.com/","https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj","DAZN | FIFA+","fifa-37-fifa-plus-after-cookie-dismiss.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-37-fifa-plus-after-cookie-dismiss.png","2026-07-30 15:03:58 +07:00","1440","6405","7806673","1440","6405","5","true","Accept","PUBLIC","SUCCESS","1","","F-10B","","Popup action: Accept. Page final URL: https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj."
"fifa-38-fifa-plus-hero","fifa","desktop","FIFA+ hero","loaded","https://www.plus.fifa.com/","https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj","DAZN | FIFA+","fifa-38-fifa-plus-hero.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-38-fifa-plus-hero.png","2026-07-30 15:04:16 +07:00","1440","6405","7806673","1440","6405","5","true","Accept","PUBLIC","SUCCESS","1","","F-10B","","Popup action: Accept. Page final URL: https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj."
"fifa-39-fifa-plus-live-rail","fifa","desktop","FIFA+ rail","Live","https://www.plus.fifa.com/","https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj","DAZN | FIFA+","fifa-39-fifa-plus-live-rail.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-39-fifa-plus-live-rail.png","2026-07-30 15:04:42 +07:00","1440","6405","7806673","1440","6405","5","true","Accept","PUBLIC","MISSING_CURRENT_STATE","1","waitForText unavailable: locator.waitFor: Timeout 10000ms exceeded.","","","Popup action: Accept. Page final URL: https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj."
"fifa-40-fifa-plus-highlights-rail","fifa","desktop","FIFA+ rail","Highlights","https://www.plus.fifa.com/","https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj","DAZN | FIFA+","fifa-40-fifa-plus-highlights-rail.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-40-fifa-plus-highlights-rail.png","2026-07-30 15:05:01 +07:00","1440","6405","7806673","1440","6405","5","true","Accept","PUBLIC","SUCCESS","1","","","","Popup action: Accept. Page final URL: https://www.dazn.com/en-VN/competition/Competition:50kvbmxi5r9amj2e39hznggqj."
